Model,Difficulty,Question Count,Pass@1 (%),Pass@8 (%),Length Mean,Length Variance
qwen3-1.7b,5.0,890,35.70224719101124,50.89887640449439,15850.34929775281,61430311.048918046
qwen3-1.7b,5.25,232,27.370689655172413,43.103448275862064,17722.899784482757,57136517.955474086
qwen3-1.7b,5.5,158,32.674050632911396,46.20253164556962,15249.459651898735,53633208.87020747
qwen3-1.7b,6.0,259,20.077220077220076,32.04633204633205,17548.750965250965,50847883.55670756
qwen3-1.7b,6.25,7,32.142857142857146,42.857142857142854,14971.57142857143,13928432.673469385
qwen3-1.7b,6.5,106,12.5,20.754716981132077,17080.055424528302,38124155.27876775
qwen3-1.7b,6.75,1,0.0,0.0,12055.625,2616345.734375
qwen3-1.7b,7.0,387,14.987080103359174,20.930232558139537,17565.934754521964,42423627.23734509
qwen3-1.7b,7.5,77,15.584415584415584,23.376623376623375,18524.06331168831,40723487.02683579
qwen3-1.7b,8.0,265,14.19811320754717,25.28301886792453,18251.025943396227,41338394.418666564
qwen3-1.7b,8.25,1,0.0,0.0,23509.0,25841541.0
qwen3-1.7b,8.5,13,22.115384615384613,46.15384615384615,18962.46153846154,38375037.6331361
qwen3-1.7b,9.0,157,14.808917197452228,26.751592356687897,17882.60270700637,35639351.0802156
qwen3-1.7b,9.5,16,1.5625,12.5,18015.5625,38319210.37109375
